ip_location,reposts_count,comments_count,attitudes_count,source,content,NLP,ip_location_new
发布于 广西,0,0,0,微博视频号,"【#东电称对核污水何时排完无具体计划#】
       日本东京电力公司危机公关负责人高桥邦明26日表示，公司目前就何时能够全部排完核污染水没有任何具体计划。根据东京电力公司公布的排放计划，首阶段会在连续17天，排放7800吨核污染水；2023年度计划分四阶段，排放3.12万吨核污染水，约为福岛第一核电站内存放总量的2.3%。东电曾估计，最快要到2051年度才可能将核污染水全部排放完毕，耗时约30年。但日本媒体指出，目前地下水流入核反应堆并生成污染水，因此实际上很难履行计划。
       另外，日本水产厅26日公布，核污染水排海首日，在福岛县近海捕获鱼类的放射性物质氚浓度，低于仪器能够检测出的下限数值。当天公布的两个检测样本是比目鱼和绿鳍鱼，是前一天从设在核污染水排放口5公里圈内的网裡捕捉到的，检测结果都是“未测出”。水产厅计划，在未来一个月左右每天发布检测结果。不过，核污染水排海让日本水产业受创，当地渔民也怨声载道。
http://t.cn/A6OLQT91（@凤凰卫视）",0,发布于 广西
发布于 山西,0,0,1,iPhone客户端,#台风或使核污水扑向美国#🙏🙏🙏 既然人话讲不通 那该要用更直接的报应让他们清醒一下 吹吹风 洗洗脸可能会好一点吧,0,发布于 山西
发布于 重庆,0,0,0,HUAWEI P30,而且这两天就因为鬼子排核污水这个事，我tm昨晚做梦梦到核爆了，给我在梦里吓一跳[二哈],0,发布于 重庆
发布于 江苏,0,0,0,前置双摄vivo X9,#日本大使馆提醒在华日本民众不要大声说日语#装你妈[费解]没完没了是吧？你自己多卑鄙自己清楚，别把别人都想的和你一样，你这话是在旁敲侧击什么？我们中国人无脑？没素质？我看核污水直接拿去给你们泡茶喝好了，反正你们说是没问题的[吐],0,发布于 江苏
发布于 广东,0,0,0,iPhone客户端,能说出这样法盲的话（起码现在不是战争状态）就算他不是700亿也不是什么好人，退一步说就算拿奥特曼玩具的小孩就是喜欢日本甚至坚持核污水排海没问题你也不能借机打人,2,发布于 广东
发布于 河北,0,0,0,微博视频号,我都还没去过海边呢。。。。。#日本排放核污水_#海洋_#大自然_#人类  http://t.cn/A6O2t7lq,0,发布于 河北
发布于 甘肃,0,0,1,vivo 全新水滴屏手机,东海龙王开眼 妈祖保佑 核污水回灌日本吧//@-逆光飞行-:老天有眼，明天吃素以表诚意//@风息神泪:随五斤以表心诚。[小黄人微笑]//@鸟窝里的猫妖:现在压力给到富士山。。。,1,发布于 甘肃
发布于 河南,1,0,1,华为HarmonyOS设备,不吃海鲜，只能是吃狗肉，或者吃棒子。它们也是很难。#东电承认超6成储存核污水放射物超标#,0,发布于 河南
发布于 广东,0,0,0,OPPO Reno9 5G,#台风或使核污水扑向美国#求[老师好][老师好]接[举手][举手][举手],1,发布于 广东
发布于 浙江,0,0,0,vivo AI智慧拍照X21,#日本男篮vs芬兰男篮#千算万算没算到小日子出了神仙下凡核污水喝多了[允悲][二哈],1,发布于 浙江
发布于 辽宁,0,0,3,iPhone客户端,"“谁也不知道明天和意外哪个先来 ”
以前只觉得这是一句话而已 
不觉得有什么特殊的含义
直到核污水排海切身关注到每个生命的利益
人可以躲避 其实也无处可躲 
早晚有一天会影响到你不管你在哪里
可是海里面那些数以万计或者不计其数的动物呢 他们怎么办？他们真的是无处可躲了
人的命是命 难道小动物的命就可以随意牺牲吗？[悲伤]#核污水##海洋动物#",0,发布于 辽宁
发布于 黑龙江,0,0,0,HUAWEI Mate 30 5G,#日方反咬中国洗白不了排污入海劣迹#小日，为什么不敢正面回答你那个破核污水排海的智障行为呢，是因为不敢吗？[二哈][二哈],0,发布于 黑龙江
发布于 陕西,0,0,1,vivo Y77,我现在真的好讨厌小riben，祝他家天天喝核污水，帮小riben转移注意力的人都可恨,0,发布于 陕西
发布于 中国香港,0,0,0,三星S21 5G,可以呀！前提是要讓國際上任何一國都可派員檢測日方所排出海的核污水，及完全透明公開所有檢測詳細報告。海洋是屬於地球的，不是屬於日本美國的，不能你們美日說了算。,1,发布于 中国香港
发布于 安徽,0,0,4,为你写的情诗,#核污水排海后中国渔民直播遭谩骂#有的人能不能长点脑子。。。。,0,发布于 安徽
发布于 广东,0,0,0,iPhone客户端,#韩媒说日本拒绝他国对核污水直接取样#只有国内出生还在洗//@两个坏虫子:连三水都反水了，说明危害大的很[允悲],0,发布于 广东
发布于 湖北,0,0,0,iPhone客户端,#东电承认超6成储存核污水放射物超标#。,1,发布于 湖北
发布于 重庆,0,0,0,Xiaomi 12 Pro,韩国的济州岛海景旅游业，制造出口业，国内渔业基本算完蛋了，建议韩国民众早点向日本索赔10万亿美元核污水造成的经济损失@韩国驻华大使馆,0,发布于 重庆
发布于 浙江,0,0,0,HUAWEI P30,真的是一个没有勇气承担责任的民族，一直没有承认侵略战争，篡改历史，到现在排核污水，这个民族的卑劣可见一斑。 不对，应该说闭着眼都可以看出来，这是一群垃圾。,0,发布于 浙江
发布于 辽宁,0,0,0,微博视频号,日本已正式开始核污水排海 http://t.cn/A6O4oMVG,1,发布于 辽宁
发布于 北京,0,0,0,荣耀Magic3 Pro 5G,[笑cry]李莲花还在海边呢，这污染不利于小花健康//@Ohno-e统江湖:我放不下，水里有核污水[微笑][微笑][微笑][微笑]，小日本气死我了,1,发布于 北京
发布于 广东,0,0,0,HUAWEI Mate 50,#东电承认超6成储存核污水放射物超标#？？？,0,发布于 广东
发布于 江苏,0,0,0,HUAWEI Mate 40,哈哈，日本核污水排海快看点开心的,2,发布于 江苏
发布于 广东,0,0,0,HarmonyOS设备,【讲真D｜日本政府不能承受的恶果】当日本选择以所谓 “较低成本” 处理核污水问题时，不同地方施以的措施，加上日本本土的反对声浪，代价沉重，恶果连连，肯定是日本不能承受，长远结果，必然是日本输掉名声，又付出沉重的经济代价。http://t.cn/A6OUxZXG http://t.cn/A6OUxZXb,0,发布于 广东
发布于 上海,0,0,0,HUAWEI Mate 50E,一群殖人奸卒就配喝核污水 http://t.cn/A6ObhjAG,1,发布于 上海
发布于 河北,1,1,1,微博视频号,是开幕式也是预告片！#东京奥运会开幕式__#核污水_#是开幕式也是预告片  http://t.cn/A6OLWuLC,1,发布于 河北
发布于 新疆,0,0,0,荣耀20,你们日本人真她妈不是人，核污水排入人类海洋，你们想与人类同归于尽吗,2,发布于 新疆
发布于 山东,0,0,1,iPhone客户端,#美国年轻人对日本排核污染水态度#700亿绝对不白花，希望所有核污水都流到美国吧～让他们民众使劲吃海鲜～,0,发布于 山东
发布于 浙江,0,0,1,iPhone客户端,回复@linus2019:第一，这些问题目前不说绝迹，至少有了明显改善，第二，我们的食品安全存在问题，日本就无需为排放核污水担责？//@linus2019:回复@飞旋海豚zj:能解决的问题 解决了吗？,0,发布于 浙江
发布于 浙江,0,0,0,HUAWEI Mate 20 Pro,【日本宣布24日核污水排海】发展动态快速get👉👉👉：http://t.cn/A6OASPiX,1,发布于 浙江
发布于 北京,0,0,0,iPhone客户端,请日本政府停止排放核污水！！！不能做这么不负责任的事情，海洋动物拼命逃离也逃不脱，[泪][泪][泪]，我们以后也不能吃海鲜了，还要担心核辐射对身体造成的伤害，经历过疫情的我们活着已经够难的了，请日本政府不要为一己私利给世间一切的生物造成更致命的伤害[泪][泪][泪] ，请日本停止排放核污水！！！,0,发布于 北京
发布于 四川,0,0,0,HUAWEI P40 Pro 5G,[哼]从篡改教科书  否认侵略历史  到经济半脱钩   政治干涉中国呆湾问题   再到核污水排海…  小日本以为联合丑国便能坐牢世界第三大经济体  并通过打压 遏制中国 妄想取代中国… 狼子野心昭然若揭[摊手]  为了迎合丑国  便自降国格的民族   小日本恐怕永世不得翻身！,0,发布于 四川
发布于 重庆,0,0,0,荣耀X40,东京电力公司就算了吧，要不是这畜牲公司从疏忽到瞒报再到撒谎造假就不会有今天的核污水为害全球了,0,发布于 重庆
发布于 北京,0,0,0,iPhone客户端,每天都在为自己无能去阻止日本排放核污水而难过[微笑],0,发布于 北京
发布于 四川,0,1,0,微博网页版,小日本真就是一群④马🗡种，接富士山喷发，接核污水倒灌小日本，接日本沉岛#日本核污染水排海正式开始#,1,发布于 四川
发布于 江苏,0,0,0,Redmi Note 12 Pro,传声筒而已，大喇叭反智言论反而是保护色//@刘沐之:郝戴友发声了，她认为日本核污水排海是“合法的环保行为”。,1,发布于 江苏
发布于 江西,0,0,4,Note 9 Pro 一亿像素,#核污水排海后中国渔民直播遭谩骂#欺负自己人算什么本事[微笑][微笑][微笑],0,发布于 江西
发布于 辽宁,0,0,4,HUAWEI P40 Pro 5G,"对抗小日本
中国人！做为一个有血有肉的中国人！
坚决抵抗！坚决反对！坚决制裁！
勿忘国耻，中国最敌对的民族！
还在犹豫什么！
打到日本！消灭日本！
大自然！也要坚决地反击！
#日本核污水[超话]##谁在炒作只有中国反对日本排放核污水##日本核污水[超话]##日本核污水排海中国怎么办##日本核污水[超话]##日本核污水排海民众忍无可忍#",2,发布于 辽宁
发布于 山东,1,0,7,微博搜索,#东电承认超6成储存核污水放射物超标#核平了日本吧……他们真的跟辐射很有缘。当年挨了美国两颗原子弹都没灭国，核电站又发生核泄漏！！现在不干人事的发动“核战争”，将核污染的废水释放全球。海洋生态肯定受影响，生态循环是全球的！！,0,发布于 山东
发布于 浙江,0,0,0,nova7你在焦点在,//@博物杂志:假的。这是板茗荷，一类附生甲壳类动物，跟虾蟹是远房亲戚，同时也经常长在虾蟹的身上，就跟海龟鲸鱼身上长藤壶似的。茗荷对人无害，不影响虾蟹的食用，在梭子蟹上尤其常见。核污水这事我们应该保持警惕，但暂且不用对原本常见的生物和现象草木皆兵。,0,发布于 浙江
发布于 广西,2,6,16,微博视频号,为及时应对和监测日本福岛核污水对我国东海海洋的影响，浙南放射医学与核技术应用研究院紧急成立东海海洋放射性污染监测专班，将对核污水海域影响进行实时监测，初步计划对温州海域开展每两月一次的采样监测。http://t.cn/A6OyGjkx,2,发布于 广西
发布于 广西,0,0,0,vivo Y31s标准版,"#核污水排海后日本人在海里游泳#
哥斯拉 启动！",1,发布于 广西
发布于 山西,0,0,0,HUAWEI Mate 9,#核污水排海后日本人在海里游泳#都鬼子了 早就天不怕地不怕了[哆啦A梦害怕][哆啦A梦害怕],0,发布于 山西
发布于 北京,0,0,0,坚果手机 Pro 2,转发微博,1,发布于 北京
发布于 云南,0,0,0,荣耀70 5G,#台风或使核污水扑向美国#喜大普奔！！！,2,发布于 云南
发布于 贵州,0,0,0,Hi nova 9 SE,好多人借着核污水排放来发泄戾气,0,发布于 贵州
发布于 广东,0,0,0,荣耀30S 5G 美由芯生,#日本核污水排海中国怎么办#,1,发布于 广东
发布于 上海,0,0,0,iPhone 14 Pro Max,//@Clawicle:震惊日本竟然是属于中国的土地//@花舞-ling:拉美有人说中国在排核污水了，都反转了[doge],0,发布于 上海
发布于 河南,0,0,5,nova 5z,#日本核废水排海已经开始影响邻国#是核污水啊！哪个汉奸建的词条？,0,发布于 河南
发布于 辽宁,0,0,0, 日常记录 ,#日政客妄言中国游客入境先吃福岛海产#我们知道核污水喝多了让智商降低、满嘴喷粪，但小日本你也不用出来秀吧？,2,发布于 辽宁
发布于 河南,0,0,2,iPhone客户端,因为日本的核污水，淘宝上日妆都便宜了，吓得我赶紧多买几盒,2,发布于 河南
发布于 江苏,0,0,4,Note 9 Pro 一亿像素,"#关注日本核污水排海#
哎，不要变异不要变异……",2,发布于 江苏
发布于 宁夏,0,2,3,HUAWEI P50,刷短视频一个又一个的关于小日子排放核污水的视频让人感到窒息，但是自己只是一个普通人，除了愤慨和无奈的发言什么也做不了，甚至我们无法像末日小说那样，未卜先知或者有能力让自己在“末世”活下去。还有那些可爱且鲜活的海洋生命，它们何尝不无辜呢，实在难以想象地球是否真的会变成《光遇》里墓土的模样#日本2023年想排放3.12万吨核污水#,0,发布于 宁夏
发布于 浙江,23,102,642,拆台YYDS ,"#日本已排放超1000吨核污染水#

外交部又开嘲讽了。

汪文斌：美国声称对日本核污水排海计划满意，为什么却减少了农林海产品的进口？

[偷笑][偷笑][偷笑]

#大量日本骚扰电话打进我驻日使领馆#",0,发布于 浙江
发布于 甘肃,0,0,0,荣耀8X,#为生命呐喊[超话]#日本核污水排海，是继二战后对人类社会的再次犯罪，呼吁国际社会广乏形成共识，用坚定的态度和决心，迫使日本政府停止对人类社会的再次犯罪。,0,发布于 甘肃
发布于 四川,0,0,3,HUAWEI Mate 20 X,"日本核污水排放，不亚于一场液态核战争……我们居然阻止不了……但可预见，未来疾病发生概率会大大增大。人类怎么办？海洋怎么办？地球怎么办？
#核污水##日本##日本核污染水排海正式开始#",0,发布于 四川
发布于 福建,0,0,0,荣耀90 Pro 写真相机,#核污水排海韩国已出现连锁反应#难道只有我们普通人会天天刷到海洋生物在哭泣的视频吗？投给那些支持往海洋倒入核废水的人吧！你们破坏的环境希望你们自食其果！,0,发布于 福建
发布于 广东,1,0,1,微博网页版,//@寂多蔓生://@开水族馆的生物男:没事的，三倍体虹鳟全国加起来也就一年几千吨，海产大西洋鲑一年全球数百万吨，基本吃不到...而且进口的优质大西洋鲑主产于北欧南美几乎不受日本核污水影响的海区，三文鱼基本还能放心吃。对了，大西洋地中海产的面包蟹也基本属于100%安全,2,发布于 广东
发布于 福建,1,4,5,微博轻享版,"本来不想再提李清晨为了反中什么屎都吃的…怎奈他还自个儿一直跳出来…那就来驳驳刘夙的话术呗[二哈]
图2，说强调核污水是咬文嚼字，所以日本排的就是核废水，但是不体现“被核污染过”对他来说却并不是什么大事，确实是把鬼子的有小节无大义学得很彻底。
图3，“假定原子能机构数据可信”，那么可信吗？见图4。
图5，就算不能直接饮用灌溉用，就没有其他处理方式了吗？哪怕造个桶装起来呢？健康人的中段尿也是无菌的，刘老师介意别人存了倒它家里吗？更不用说这废水是否真的无害了，图67里福岛居民这30%的甲状腺癌和胃癌发生率在刘老师眼里可能只是天降的灾祸吧？
至于天天骂有司的某人…在国外有司祸害环境的时候怎么就突然岁月静好“尊重地球命运”了呢？倒是三联发了个日本三次地震时突然像被踩了尾巴的狗一样暴跳如雷…这也太好孝了吧",0,发布于 福建
发布于 辽宁,0,0,3,iPhone客户端,"#核污水排海后日本人在海里游泳#
大型真实纪录片《变异鬼子》",1,发布于 辽宁
发布于 广东,2,0,0,iPhone客户端,草//@深海里的人鱼王子:现在更不能生，生下来接受核污水的洗礼，一起患癌等死吗，一个普通的家庭负担得起几个癌症病人[挖鼻][挖鼻][挖鼻]//@啾逸酱:生下来给老爷们做牛做马吗，我自己苦就够了，别连累孩子[太开心][太开心],2,发布于 广东
发布于 安徽,0,0,14,荣耀30 5G,#关注日本核污水排海# 这热度掉的就离谱,2,发布于 安徽
发布于 湖南,0,0,1,iPhone 8 Plus,#西村力因日本排放核污水问题疑似被团内霸凌#我服了爸爸,0,发布于 湖南
发布于 河南,0,0,0,碗盆之女的Android,#核污水排海后日本人在海里游泳#嗯……我无言以对,1,发布于 河南
发布于 山东,0,2,1,iPhone客户端,#笑眯眯方灿徐彰彬得知日本排放核污水暴打金宇珍#我正在砍一刀，你也来砍一刀吧,1,发布于 山东
发布于 广东,0,0,1,vivo S15,#日本核废水#应该是核污水！！这两者性质完全不同！核污水的辐射量远远大于核污水！！,2,发布于 广东
发布于 江苏,0,0,0,iQOO Neo6 SE竞速标杆,//@小嘛小二浪呦:支持[傻眼]厕妹们有辐了//@人类幻觉体殓师:肥肠资瓷啊，不干了这杯核污水怎么有资格去日本呢✌️,1,发布于 江苏
发布于 美国,0,0,0,iPad air,不是核廢水， 是核污水。 這麼安全的話，為什麼不留著自己用，幹嘛排掉？,0,发布于 美国
发布于 湖北,0,0,9,大耳狗的肉桂卷,#日本专家称核污水排海是早就决定好的#你最低成本，让别人都不过了？,0,发布于 湖北
发布于 广东,0,0,0,nova 9 SE,#岸田文雄午餐全是福岛食材#太好了，这种“好东西”也别出口了，就给你们自己吃吧，核污水你们应该也喜欢吧，也别排了，每人每天发一瓶回去喝，很快就喝完了[doge]还可以搞一个饥饿营销，告诉大家核废水有限，先到先得[doge]不客气,2,发布于 广东
发布于 山西,0,0,0,iQOO Neo5 生而为赢,//@封印解除的草蛇:核污水都不怕，还怕被打？不愧是八嘎[赢牛奶],0,发布于 山西
发布于 陕西,0,0,0,Note 9,//@暴食症患者李舜生://@博物杂志:假的。这是板茗荷，一类附生甲壳类动物，跟虾蟹是远房亲戚，同时也经常长在虾蟹的身上，就跟海龟鲸鱼身上长藤壶似的。茗荷对人无害，不影响虾蟹的食用，在梭子蟹上尤其常见。核污水这事我们应该保持警惕，但暂且不用对原本常见的生物和现象草木皆兵。,0,发布于 陕西
发布于 安徽,0,0,0,iPhone客户端,#谁在炒作只有中国反对日本排放核污水#啊，所以呢，我们普通人又能做什么呢，谁在意我们普通人死活啊，喊反对或者不反对有用吗，稀里糊涂过吧。,0,发布于 安徽
发布于 四川,0,0,0,iQOO 10 未来电竞旗舰,好想吃三文鱼啊，核污水你让海鲜脑袋怎么过啊该死的日本,0,发布于 四川
发布于 河南,0,0,0,iPhone客户端,#太平洋沿岸国有权向日本政府发起核污水索赔#何止沿岸，内陆国也有权起诉，海洋水汽蒸发会带到全球各个角落，全球人民都有权索赔[怒],1,发布于 河南
发布于 四川,0,0,0,一加11 行星发动机,#核污水排海后中国渔民直播遭谩骂#700亿到位了，开始欺负弱者了，二鬼子最该死👎🏻,0,发布于 四川
发布于 福建,0,0,0,微博 HTML5 版,//@LinLin-Jaline:#谁在炒作只有中国反对日本排放核污水# 原来大部分欧美国家的普通居民都不知道这个新闻！！,0,发布于 福建
发布于 北京,0,0,0,iPhone客户端,岸田和拜登把核污水喝干净。,2,发布于 北京
发布于 湖北,0,0,0,华为手机 畅享玩不停,//@要西夸了西了滚:有个视频发的，日本店家写的牌子，中国人本店食材已准备好了全部来自福岛。坏种//@芥末喵公子:不去了行不行  人家电视上都说让来旅游的中国人喝几杯核污水才能进去旅游了  有点骨气行不行,1,发布于 湖北
发布于 辽宁,0,0,0,HUAWEI Mate 50,#核污水排海第一批受害者出现了##美食时刻# I#我的美食日记##美食日记#,1,发布于 辽宁
发布于 湖北,0,0,5,Redmi K50,"#日本核污染水排海民众忍无可忍#
一个yml:(瞎猜的)
根据之前莫德纳的专利序列与新冠序列匹配，并且这个公司靠疫苗赚了180个亿美元这个事。
而且霉也承认在乌的生物实验室研究非常恐怖的生物武器。
再加上霉现在对核污水的支持态度
有没有可能是霉那边早就有技术研发出了很牛逼的净水器，就是为了大捞一笔。更有可能借此控制人民，从而实现他们的霉帝梦。
说句不好听的，富人确实不会关心穷人的死活。。。。",0,发布于 湖北
发布于 湖北,0,0,0,HUAWEI Mate 30 Pro,以后这些可爱的天使宝贝就都要遭受核污水的伤害了[泪][泪][泪],0,发布于 湖北
发布于 湖南,3,2,40,荣耀90 写真相机,"外国年轻人怎么看待核污水排放 

#有趣的歪果仁[超话]# http://t.cn/A6OLF2tb",2,发布于 湖南
发布于 北京,0,0,0,Android,"果然是秋天了，一场秋雨一场寒。下过雨，屋里连电扇都不用开了。

也不知拍核污水之后被污染的海洋生物已经被污染多少了，造孽啊[鄙视]",0,发布于 北京
发布于 内蒙古,0,1,1,微博网页版,富士山啊★富士山下 ★紫微星 ★日本排放核污水 http://t.cn/A6OA5BOm,1,发布于 内蒙古
发布于 浙江,0,0,0,iPhone客户端,#日媒宣称日本针对中方措施开展外交攻势#日本核污水排海怎么到最后变成是中国的错？要不要脸啊？死不要脸的货色看着就烦,0,发布于 浙江
发布于 江苏,0,0,0,iPhone客户端,#核污水排海后日本人在海里游泳#不是 别游啊 直接喝啊,1,发布于 江苏
发布于 贵州,221,355,2582,Android,排队了，有意者请私信。[来][酷][赞],1,发布于 贵州
发布于 浙江,41,148,781,中华有为Android,只要日本立即停止排放核污水，什么话都好说，他们不明白这个道理么？,2,发布于 浙江
发布于 海南,0,0,0,nova5Pro人像超级夜景,//@Jokielicious:我们的老百姓努力学习垃圾分类，平时一直都很节约，政府努力节能减排。然后妈的美国炸北溪，加拿大不管自己的山火，日本排核污水。我恨,2,发布于 海南
发布于 江苏,0,0,0,iPhone客户端,杰尼斯的热搜好惨 但不能忘核污水,0,发布于 江苏
发布于 山东,0,0,0,OPPO R9s,#核污水# 在官方努力通过外交手段阻止排污的情况下，更应当考虑排污后我临海的应对方法。,0,发布于 山东
发布于 广东,0,0,5,iPhone客户端,#五条悟断臂#喝核污水把脑子喝坏了吗 我真服了[费解][费解][费解],0,发布于 广东
发布于 广东,0,0,0,HUAWEI P40 5G,刚拿到潜水证就排核污水[傻眼]该潜潜 死了就算了 反正人也就活这辈子,0,发布于 广东
发布于 福建,0,0,2,HUAWEI Mate 10,#福建人结婚的传统流水席#鬼子把核污水到海里，其他地方不知道，反正闽南地区很多流水席以后就无才可吃喽！,0,发布于 福建
发布于 辽宁,0,0,2,全屏双摄 OPPO A5,目的正是对付人口大国中国呢！美国德特里克堡放毒目的如此，日本倾泻核污水亦是如此，只不过日本人的干得更阴毒，想逃都逃不掉，核污水倾泻大海人类几乎无计可施，谁有能力净化大海？这个败类的小日本！,0,发布于 辽宁
发布于 广东,0,3,9,iPhone客户端,"今天是一个时政频道
日本排放核污水绝对有他的问题
但最近节奏被带的有点儿猛
科学问题逐渐被政治经济化
焦点也转向禁止进口等贸易对抗
而渔业已经是日本夕阳行业
但在我国相关产业产值非常高
从第N次抢盐能看出公民智商未有明显提升😅😅
所以一定会给相关水产行业带来巨大打击
用自家一口大锅砸了小日子一个小碗儿(･_･;
冷战和对抗绝对不会给世界带来发展
人类是需要合作的
不过也不该我操心
家里所有成员都好好的就好🥰🥰",0,发布于 广东
发布于 河北,6,2,14,OPPO Find X3,#日本密集收购中国中药企业##核污水##研究称日本核污水排海240天到达中国# 拜托大家都帮忙转发，增加热度upupupupup,1,发布于 河北
发布于 安徽,0,0,0,Android,#东电承认超6成储存核污水放射物超标#呵，怎么回事，会承认了哟，真棒棒[挖鼻],1,发布于 安徽
发布于 美国,0,0,0,荣耀30 Pro 5G,。//@猹斯拉:……[二哈]//@包容万物恒河水:理论上，按照东电废堆计划，最终会取出来。但是你信吗？日本人敢讲讲三号机堆芯都沉到哪去了吗？[裂开]//@曾呀真高兴:我有个问题：堆芯的核燃料没取出来，意思是核污水的总量是无限♾️的是吗？[裂开][裂开][裂开] http://t.cn/A6OUEnvH,2,发布于 美国
发布于 浙江,0,0,0,哔哩哔哩,日本排核污水背后的卑鄙算计，西方环保圣母国家为什么不反对了#哔哩哔哩动画# http://t.cn/A6OyxMz3,0,发布于 浙江
发布于 新疆,0,0,0,荣耀Play3,#岸田文雄午餐全是福岛食材#喔哦，太棒了，上一个喝核污水的已经死了，现在他能不能立马嘎给我们看！！！,0,发布于 新疆
发布于 福建,0,0,0,华为畅享 60 Pro,核污水没事是吧，你们日本护肤品做的这么好，可以拿去做神仙水啊，每个人每天用两吨，促进细胞生长，促进新陈代谢，细胞的修复能力更好了，直接年轻18岁，好东西别浪费了，你们日本人真是身在辐中不知辐[挤眼],2,发布于 福建
发布于 广东,0,4,2,荣耀Magic4,在思考一个问题，等日本的核废水到达中国沿海海域的时候，也就是再过200多天，是不是就意味着不能吃海鲜了？ 那我只能去惠州吃窑鸡和禄鹅了………#日本核污水排海意味着什么#,0,发布于 广东
发布于 广西,0,0,0,红米Redmi,狗日本[怒]排核污水进大海祸害人类，现在还装作若无其事的样子开的进行电话攻击骚扰是吧[怒]，真的畜生啊！行，那就比比谁的人多。,0,发布于 广西
发布于 浙江,0,0,0,HarmonyOS设备,#上次抢的盐还没吃完# 我就想知道11年因核泄漏抢盐的和这一批因排放核污水而抢盐的人群是不是同一批[doge]，不会吧不会吧，不会真有人两次踏入同一个坑吧,0,发布于 浙江
发布于 河北,18,122,347,微博网页版,不要划走！把你们的愿望说出来，大佛的耳朵听得到🙏,2,发布于 河北
发布于 江苏,0,0,1,iPhone 13,#福岛真相#什么真相？他没把核污水排海？去捏嘛的,0,发布于 江苏
发布于 贵州,0,0,0,一加 Ace,//@博物杂志:假的。这是板茗荷，一类附生甲壳类动物，跟虾蟹是远房亲戚，同时也经常长在虾蟹的身上，就跟海龟鲸鱼身上长藤壶似的。茗荷对人无害，不影响虾蟹的食用，在梭子蟹上尤其常见。核污水这事我们应该保持警惕，但暂且不用对原本常见的生物和现象草木皆兵。,0,发布于 贵州
发布于 广东,0,0,0,vivo Y3s,日本排放核污水，看来豪华游艇也恐惧出海了，比基尼服装也滞销了……,0,发布于 广东
发布于 江苏,0,0,5,iPhone客户端,#谁在炒作只有中国反对日本排放核污水#狗日的不是白叫的，这辈子的脏话都要用来骂日本那群狗日的[微笑][微笑][微笑],2,发布于 江苏
发布于 广西,4,1,8,微博视频号,@三个老爸实验室 解读 “辐岛”核电站核污水排海是科学问题还是政治问题？ http://t.cn/A6OU09nm,0,发布于 广西
发布于 广东,0,0,1,华为畅享 50,#谢长廷声称微量的放射性元素有益#核污水赏给它全家喝,1,发布于 广东
发布于 浙江,1,0,1,微博网页版,#日本核污水排海或化作雨水洒遍全球# 真武妙经 回向龙族 祈愿龙族护佑众生,1,发布于 浙江
发布于 新疆,0,0,0,iPhone客户端,#东京电力称核污水排海有问题将停止#小鬼子能不能单独生活在一个星球啊，这辈子和鬼子生活在同一个星球也是蛮无助的,0,发布于 新疆
发布于 安徽,0,0,0,vivo X27,#台风或使核污水扑向美国#干得漂亮,2,发布于 安徽
